Customerorder nummer,klantnr,AAR nummer,RR code laden,RR code lossen,Laden van,Laden tot,Lossen van,Lossen tot,Operator,Logistieke service,Laadpartij,Laadstraat,Laadhuisnummer,Laadpostcode,Laadplaats,Laadland,Lospartij,Postcode laden,Land laden,Postcode lossen,Plaats lossen,TIS code lossen,OldName,Collectiedagen,rc_large_scheduled,Uitvoeringsdagen,rc_large_pickup_min,rc_large_pickup_median,rc_large_pickup_q95,rc_large_pickup_max,DropOffTime_min,DropOffTime_median,DropOffTime_max,dropoff_date,order_number,Transporthulpmiddeltype,DropOffTime2,Order_ID,AdresID,lat_laden,lon_laden,laadtijd_t,lostijd_t,RCP_equiv_ordered,RCP_equiv_realised,Pakketten_realised,HBR,ColloData_Klant_Naam,Accountnummer,postal_code__c,house_number__c,total,NMG,ALM,AME,AMS,APE,ARD,BOR,BRE,AL,HER,DEN,DTD,DOR,ELT,GOE,HAL,HEN,HGV,KOL,LEE,NAM,NIE,OEV,OPM,RID,SAS,SNI,STT,SON,TIL,UTR,VEN,VIL,WVN,WZN,WIL,WML,ZWO,MECH,ASN,%WEST,%OOST,%ZUID,%BE,Vulgraad,Pakketten_NMG
C6801975680,9926994,1136,1525RG26L,1165AA10D,15:30:00,16:00:00,15:30:00,21:00:00,TransportBV,75,LOODS 5 GOODS B.V.,HANDELSWEG,26,1525RG,WESTKNOLLENDAM,NL,DEPOT HALFWEG,1525RG,NL,1165AA,HALFWEG,HW-LN,HAL,0,16,0,13,13,13,13,139,139,139,{'2022-05-23'},D108857872,{'RCP'},{'2022-05-23 15:45:00+02:00'},C6801975680,1525RG_HANDELSWEG_26_WESTKNOLLENDAM_NL,52.5162801,4.7785057,140,160,16,13,70,9926994,De Fineerfabriek B.V.,9926994,1525RG,26,1897,0.296784396,0.047443332,0.059567739,0.090669478,0.043226147,0,0.04217185,0.032156036,0.013705851,0.021613073,0.021085925,0,0.040590406,0.060094887,0.020558777,0.05640485,0.019504481,0.014232999,0.018977333,0.015814444,0,0.046916183,0,0.041644702,0.037954665,0.028993147,0,0,0.02266737,0.018977333,0.037954665,0.022140221,0,0.041117554,0.055350554,0,0,0.028465999,,,42.5,35.4,22.1,0,7.69,30
C6815024081,1082915,7330,6921RW16H,7333NR35D,23:00:00,23:30:00,23:00:00,0:15:00,TransportBV,75,HAARSHOP,RATIO,16,6921RW,DUIVEN,NL,DEPOT APELDOORN,6921RW,NL,7333NR,APELDOORN,AP-OAW,APE,0,14,0,11,11,11,11,172,172,172,{'2022-05-23'},D108857548,{'RCP'},{'2022-05-24 00:02:00+02:00'},C6815024081,6921RW_RATIO_16_DUIVEN_NL,51.9618977,6.0158817,170,173,14,11,1209,1082915,Splendid Professional,1082915,6921RW,16,57910,0.000138145,0.033552064,0.032429632,0.049058884,0.034225522,0.016732861,0.025315144,0.030668278,0.010671732,0.036850285,0.031997928,0.014971508,0.032705923,0.035399758,0.026523916,0.038905198,0.029822138,0.025954067,0.022293214,0.021826973,0.000967018,0.036125022,0.012450354,0.027542739,0.031428078,0.03878432,0.014608876,0.017872561,0.028164393,0.027007425,0.031151787,0.02828527,0.017717147,0.033672941,0.036867553,0.019461233,0.021378,0.026610257,,,33,29.8,23.6,13.6,109.95,0
C6832490749,10281194,ZB 2655,2665LP132Z,2635DK10D,17:00:00,18:00:00,17:00:00,18:00:00,Zelfbrenger,75,Zalando SE,KLAPPOLDER,132,2665LP,BLEISWIJK,NL,DEPOT DEN HOORN,2665LP,NL,2635DK,DEN HOORN,HBD-H,DEN,0,41.14,0,36,36,36,36,148,148,148,{'2022-05-23'},D108858518,{'RCB'},{'2022-05-23 18:09:00+02:00'},C6832490749,2665LP_KLAPPOLDER_132_BLEISWIJK_NL,52.0276477,4.5425268,148,148,41.14,36,2569,10281194,Zalando,10281194,2665LP,132,1021606,1.76E-05,0.037013291,0.042180645,0.046072556,0.040026194,9.79E-07,0.032878624,0.030876874,0.012355057,0.037598644,0.045116219,1.96E-06,0.039226473,0.038866256,0.029286241,0.041085311,0.033574587,0.028242786,0.02990977,0.028532526,9.79E-07,0.046376979,9.79E-07,0.035252338,0.044952751,0.037267792,1.96E-06,5.87E-06,0.03518284,0.032590842,0.0357447,0.031528789,1.96E-06,0.039717856,0.039479016,2.94E-06,5.87E-06,0.02904055,,,37.7,35.4,26.9,0,71.36,0
C6724493535,10351652,61101,6003DC11M,6121RE107D,23:00:00,23:30:00,23:00:00,0:15:00,TransportBV,75,MSC HANDELSONDERNEMING BV,FAHRENHEITSTRAAT,11,6003DC,WEERT,NL,DEPOT BORN,6003DC,NL,6121RE,BORN,BORN-HN,BOR,0,48,0,13,13,13,13,171,171,171,{'2022-05-23'},D108857982,{'RCP'},{'2022-05-23 23:56:00+02:00'},C6724493535,6003DC_FAHRENHEITSTRAAT_11_WEERT_NL,51.2668946,5.7252125,170,173,48,13,250,10351652,HC Distributie B.V. (MSC),10351652,6003DC,11,11873,0.167691401,0.033268761,0.047081614,0.025520088,0.043291502,0.000168449,0.036216626,0.039585614,0.012802156,0.04826076,0.030236671,0.000168449,0.039417165,0.031584267,0.036048177,0.026951908,0.040006738,0.041691232,0.031078919,0.039754064,0.000336899,0.0364693,8.42E-05,0.039754064,0.029731323,0.032426514,0.000336899,0.000252674,0.037732671,0.032510739,0.029478649,0.050619052,0.000673798,0.032426514,0.035121705,0.000168449,0.000505348,0.038238019,,,29.4,38.2,32,0.3,23.09,50
C6723728695,9193426,8912,8801RA14Z,8912BL3D,16:30:00,17:00:00,16:30:00,19:00:00,TransportBV,75,ZIJLSTRA BEROEPSKLEDING,DE WIEKEN,14,8801RA,FRANEKER,NL,DEPOT LEEUWARDEN,8801RA,NL,8912BL,LEEUWARDEN,LW-B,LEE,0,12,0,4,4,4,4,150,150,150,{'2022-05-23'},D108856154,{'RCP'},{'2022-05-23 18:33:00+02:00'},C6723728695,8801RA_DE WIEKEN_14_FRANEKER_NL,53.1793953,5.523631,144,152,12,4,99,9193426,Zijlstra Beroepskleding B.V.,9193426,8801RA,14,7098,0.001408848,0.020991829,0.015497323,0.009721048,0.027190758,0.000845309,0.031417301,0.015074669,0.003663004,0.021132713,0.005776275,0.001831502,0.018033249,0.014792899,0.023527754,0.006480699,0.029726684,0.079881657,0.076923077,0.365173288,0.00028177,0.021978022,0.000140885,0.056213018,0.016906171,0.006339814,0,0.001267963,0.015074669,0.012820513,0.006903353,0.018455903,0.001127078,0.015074669,0.016624401,0.000422654,0.00028177,0.042406312,,,14.4,69.5,15.6,0.6,24.71,0
C6781786006,10469655,SUB 2605,2526JA4H,2635DK10D,17:00:00,17:30:00,17:00:00,19:00:00,Zelfbrenger,75,HERMAN SCHOENEN,HOBBEMAPLEIN,4,2526JA,DEN HAAG,NL,DEPOT DEN HOORN,2526JA,NL,2635DK,DEN HOORN,HBD-H,DEN,0,3,0,1,1,1,1,148,148,148,{'2022-05-23'},D108858134,{'RCP'},{'2022-05-23 18:00:00+02:00'},C6781786006,2526JA_HOBBEMAPLEIN_4_DEN HAAG_NL,52.0674148,4.2976696,146,152,3,1,22,10469655,Herman Schoenen,10469655,2526JA,4,2001,0,0.023988006,0.017991004,0.017491254,0.046976512,0.002998501,0.044977511,0.03848076,0.018990505,0.055472264,0.07996002,0.002498751,0.03848076,0.051474263,0.031984008,0.024487756,0.026986507,0.022488756,0.012993503,0.009495252,0,0.028485757,0.006996502,0.021489255,0.073463268,0.034482759,0.00149925,0.004497751,0.044977511,0.035482259,0.032983508,0.036981509,0.0009995,0.042978511,0.035982009,0.00149925,0.005497251,0.023488256,,,38.2,26.4,32.7,2.6,22.17,0
C6779920752,10472139,VOSHT 1,5347JV39V,5222AL4D,22:30:00,23:00:00,22:30:00,23:59:00,TransportBV,75,Vos Distri Logistics Oss B.V.,VOLLENHOVERMEER,39,5347JV,OSS,NL,DEPOT DEN BOSCH,5347JV,NL,5222AL,DEN BOSCH,HT-KK,HER,0,16,0,19,19,19,19,170,170,170,{'2022-05-23'},D108856230,{'RCP'},{'2022-05-23 23:33:00+02:00'},C6779920752,5347JV_VOLLENHOVERMEER_39_OSS_NL,51.7835642,5.5605654,168,171,16,16,34,3249532,Vos Distri Logistics Oss B.V.,10472139,5347JV,39,4474,0.578900313,0.029727313,0.041126509,0.0442557,0.032632991,0.020339741,0.023915959,0.028609745,0.006258382,0.033080018,0.038444345,0.0147519,0.028833259,0.042914618,0.026374609,0.040455968,0.02212785,0.021680823,0.023245418,0.023692445,0.001117568,0.049396513,0.010728654,0.023245418,0.026598122,0.048055431,0.025480554,0.01229325,0.026821636,0.026374609,0.033974072,0.020116227,0.019445686,0.03196245,0.038891372,0.014528386,0.018551632,0.029950827,,,33.2,31.6,21.4,13.7,5.08,47
C6776161986,10438659,4444,B9230WE21S,4462HB62D,18:30:00,19:00:00,18:30:00,22:30:00,TransportBV,90,SMARTPHOTO (DBM COLOR) [WETTEREN] [BE],VANTEGEMSTRAAT,21,9230,WETTEREN,BE,DEPOT GOES,9230,BE,4462HB,GOES,GS-CO,GOE,0,12,0,4.5,4.5,4.5,4.5,163,163,163,{'2022-05-23'},D108855187,{'PEU'},{'2022-05-23 21:50:00+02:00'},C6776161986,9230_VANTEGEMSTRAAT_21_WETTEREN_BE,50.97249395,3.8451442,152,166,12,4.5,212,10438659,Dbm - Color NV,10438659,9230,21,14950,0.029498328,0.033511706,0.045886288,0.021070234,0.045819398,0,0.040334448,0.043277592,0.015384615,0.046956522,0.031973244,0,0.040936455,0.03819398,0.043010033,0.027157191,0.04361204,0.037257525,0.023879599,0.031237458,0,0.03632107,0,0.032441472,0.028227425,0.034648829,0,0,0.035384615,0.040334448,0.031638796,0.043879599,0,0.039264214,0.029765886,0,0,0.038595318,,,29.2,37.4,33.4,0,48.54,6
C6928603975,10504425,5666,5651GG60M,5692CK402D,15:30:00,16:00:00,15:30:00,16:15:00,TransportBV,75,MAAS INTERNATIONAL BV,ACHTSTEWEG NOORD,60,5651GG,EINDHOVEN,NL,DEPOT SON,5651GG,NL,5692CK,SON,SON-EK,SON,0,12,0,13,13,13,13,147,147,147,{'2022-05-23'},D108854621,{'RCP'},{'2022-05-23 17:59:00+02:00'},C6928603975,5651GG_ACHTSTEWEG NOORD_60_EINDHOVEN_NL,51.4689656,5.4288264,140,141,12,12,173,10504425,Maas International,10504425,5651GG,60,6039,0.000993542,0.016393443,0.019705249,0.052160954,0.036595463,0,0.027156814,0.047855605,0.014737539,0.061102832,0.03527074,0,0.028150356,0.025832091,0.038913727,0.049345918,0.032124524,0.026494453,0.024507369,0.029143898,0,0.048683557,0,0.026825633,0.029640669,0.053320086,0,0,0.08031131,0.051333002,0.026328862,0.021195562,0,0.033449247,0.043053486,0,0,0.020367611,,,36.4,28,35.6,0,14.42,0
C6917699381,5042181,3442,3433KP10B,3439JG4D,20:30:00,21:00:00,20:30:00,22:00:00,TransportBV,75,Bouwmaat Nederland B.V.,INUNDATIEDOK,12-Oct,3433KP,NIEUWEGEIN,NL,DEPOT NIEUWEGEIN,3433KP,NL,3439JG,NIEUWEGEIN,NIWG-MO,NIE,0,3,0,4,4,4,4,157,157,157,{'2022-05-23'},D108857190,{'RCP'},{'2022-05-23 20:28:00+02:00'},C6917699381,3433KP_INUNDATIEDOK_10-12_NIEUWEGEIN_NL,52.0170162,5.1162917,160,164,3,3,82,10817990,Bouwmaat Nederland B.V.,5042181,3433KP,12-Oct,1519,0.088874259,0.044766294,0.045424621,0.044766294,0.039499671,0,0.036866359,0.040816327,0.015799868,0.030941409,0.032916392,0,0.044107966,0.032258065,0.042132982,0.028308097,0.032258065,0.048716261,0.025016458,0.032258065,0,0.044766294,0,0.042132982,0.032916392,0.034233048,0,0,0.038841343,0.036208032,0.032916392,0.031599737,0,0.029624753,0.036866359,0,0,0.023041475,,,33,36.8,30.2,0,30,8
C6895032972,9886111,56151,5657HJ057P,5692CK402D,22:15:00,22:45:00,22:15:00,23:30:00,TransportBV,75,POWER SLIM NEDERLAND BV,PARK FORUM,1057,5657HJ,EINDHOVEN,NL,DEPOT SON,5657HJ,NL,5692CK,SON,SON-EK,SON,0,6,0,3,3,3,3,168,168,168,{'2022-05-23'},D108856047,{'PEU'},{'2022-05-23 23:00:00+02:00'},C6895032972,5657HJ_PARK FORUM_1057_EINDHOVEN_NL,51.4436788,5.3868657,167,170,6,3,51,9886111,Power Slim Nederland B.V.,9886111,5657HJ,1057,9889,0.000606735,0.02588735,0.056122965,0.00738194,0.040044494,0.016280716,0.04894327,0.024370513,0.017089696,0.059864496,0.026696329,0.027201942,0.023359288,0.021235716,0.024471635,0.014460512,0.017089696,0.006876327,0.008292042,0.049246638,0,0.028921023,0.038628779,0.018303165,0.025381737,0.038527657,0.015370614,0.01931439,0.038123167,0.035190616,0.022752553,0.0756396,0.013247042,0.035392861,0.016988573,0.016482961,0.013247042,0.033572656,,,22.3,28.7,33,16,16.87,0
C6888518295,10453884,ZB 1140,1507DP1G,1165AA10D,17:00:00,21:00:00,17:00:00,21:00:00,Zelfbrenger,75,GOEDKOOPDRANK,RIJDER,1,1507DP,ZAANDAM,NL,DEPOT HALFWEG,1507DP,NL,1165AA,HALFWEG,HW-LN,HAL,0,17,0,7.5,7.5,7.5,7.5,150,150,150,{'2022-05-23'},D108858493,"{'PEU', 'RCP'}",{'2022-05-23 18:30:00+02:00'},C6888518295,1507DP_RIJDER_1_ZAANDAM_NL,52.4276562,4.7968237,160,160,17,7.5,142,10453884,MMA Distributie B.V.,10453884,1507DP,1,2574,0.026418026,0.023698524,0.031468531,0.030691531,0.05011655,0.031080031,0.02020202,0.024475524,0.007381507,0.042346542,0.017094017,0.036130536,0.02991453,0.026029526,0.030691531,0.015540016,0.031080031,0.030691531,0.024087024,0.018648019,0.001165501,0.030691531,0.01981352,0.03962704,0.026029526,0.024475524,0.017094017,0.02020202,0.03030303,0.03030303,0.026806527,0.023698524,0.026806527,0.036130536,0.027583528,0.037684538,0.033799534,0.026418026,,,25.1,29.3,23.2,22.4,19.49,4
C6959275370,10435201,6640,7121JC92S,6662NG2D,19:00:00,19:30:00,19:00:00,21:00:00,TransportBV,75,SELLINK (HANDELSONDERNEMING),HAMELANDROUTE,92,7121JC,AALTEN,NL,DEPOT ELST,7121JC,NL,6662NG,ELST,ELT-N,ELT,0,10,0,15,15,15,15,170,170,170,{'2022-05-23'},D108856997,{'RCP'},{'2022-05-23 23:44:00+02:00'},C6959275370,7121JC_HAMELANDROUTE_92_AALTEN_NL,51.8942066,6.5848049,154,160,10,10,67,10435201,Handelsonderneming Sellink,10435201,7121JC,92,3080,0.461688312,0.028571429,0.030519481,0.01525974,0.031818182,0.037337662,0.027922078,0.021753247,0.008116883,0.034090909,0.026948052,0.03538961,0.029545455,0.024025974,0.028246753,0.020779221,0.031818182,0.032792208,0.025974026,0.029545455,0.006493506,0.022077922,0.032792208,0.035064935,0.026623377,0.023051948,0.022402597,0.033766234,0.018506494,0.020454545,0.023701299,0.030194805,0.025,0.023701299,0.031168831,0.036038961,0.037987013,0.030519481,,,23.4,28.8,21.1,26.7,12.39,57
