destination;shift_indicator;shift;origin;blue_depot_ind_origin;product_type;crossdock;inter_3;transport_direction
ALR;9;H9;AL;Nee;ALR shift 9;nvt;;nvt
ALR;8;H8;AL;Nee;ALR shift 8;nvt;;nvt
ALR;7;H7;AL;Nee;ALR shift 7;nvt;;nvt
ALR;6;H6;AL;Nee;ALR shift 6;nvt;;nvt
ALR;5;H5;AL;Nee;ALR shift 5;nvt;;nvt
ALR;4;H4;AL;Nee;ALR shift 4;nvt;;nvt
ALR;3;H3;AL;Nee;ALR shift 3;nvt;;nvt
ALR;2;H2;AL;Nee;ALR shift 2;nvt;;nvt
ALR;1;H1;AL;Nee;ALR shift 1;nvt;;nvt
ALR;N;N;AL;Nee;ALR shift N;nvt;;nvt
AMF;9;H9;AL;Nee;AMF shift 9;nvt;;nvt
AMF;8;H8;AL;Nee;AMF shift 8;nvt;;nvt
AMF;7;H7;AL;Nee;AMF shift 7;nvt;;nvt
AMF;6;H6;AL;Nee;AMF shift 6;nvt;;nvt
AMF;5;H5;AL;Nee;AMF shift 5;nvt;;nvt
AMF;4;H4;AL;Nee;AMF shift 4;nvt;;nvt
AMF;3;H3;AL;Nee;AMF shift 3;nvt;;nvt
AMF;2;H2;AL;Nee;AMF shift 2;nvt;;nvt
AMF;1;H1;AL;Nee;AMF shift 1;nvt;;nvt
AMF;N;N;AL;Nee;AMF shift N;nvt;;nvt
AP;9;H9;AL;Nee;AP shift 9;nvt;;nvt
AP;8;H8;AL;Nee;AP shift 8;nvt;;nvt
AP;7;H7;AL;Nee;AP shift 7;nvt;;nvt
AP;6;H6;AL;Nee;AP shift 6;nvt;;nvt
AP;5;H5;AL;Nee;AP shift 5;nvt;;nvt
AP;4;H4;AL;Nee;AP shift 4;nvt;;nvt
AP;3;H3;AL;Nee;AP shift 3;nvt;;nvt
AP;2;H2;AL;Nee;AP shift 2;nvt;;nvt
AP;1;H1;AL;Nee;AP shift 1;nvt;;nvt
AP;N;N;AL;Nee;AP shift N;nvt;;nvt
ARD;6;H6;AL;Nee;ARD shift 6;nvt;;nvt
ARD;5;H5;AL;Nee;ARD shift 5;nvt;;nvt
ARD;4;H4;AL;Nee;ARD shift 4;nvt;;nvt
ARD;3;H3;AL;Nee;ARD shift 3;nvt;;nvt
ARD;2;H2;AL;Nee;ARD shift 2;nvt;;nvt
ARD;1;H1;AL;Nee;ARD shift 1;nvt;;nvt
ASD;9;H9;AL;Nee;ASD shift 9;nvt;;nvt
ASD;8;H8;AL;Nee;ASD shift 8;nvt;;nvt
ASD;7;H7;AL;Nee;ASD shift 7;nvt;;nvt
ASD;6;H6;AL;Nee;ASD shift 6;nvt;;nvt
ASD;5;H5;AL;Nee;ASD shift 5;nvt;;nvt
ASD;4;H4;AL;Nee;ASD shift 4;nvt;;nvt
ASD;3;H3;AL;Nee;ASD shift 3;nvt;;nvt
ASD;2;H2;AL;Nee;ASD shift 2;nvt;;nvt
ASD;1;H1;AL;Nee;ASD shift 1;nvt;;nvt
ASD;N;N;AL;Nee;ASD shift N;nvt;;nvt
ASN;4;H4;AL;Nee;ASN shift 4;nvt;;nvt
ASN;3;H3;AL;Nee;ASN shift 3;nvt;;nvt
ASN;2;H2;AL;Nee;ASN shift 2;nvt;;nvt
ASN;1;H1;AL;Nee;ASN shift 1;nvt;;nvt
ASN;N;N;AL;Nee;ASN shift N;nvt;;nvt
BD;8;H8;AL;Nee;BD shift 8;nvt;;nvt
BD;7;H7;AL;Nee;BD shift 7;nvt;;nvt
BD;6;H6;AL;Nee;BD shift 6;nvt;;nvt
BD;5;H5;AL;Nee;BD shift 5;nvt;;nvt
BD;4;H4;AL;Nee;BD shift 4;nvt;;nvt
BD;3;H3;AL;Nee;BD shift 3;nvt;;nvt
BD;2;H2;AL;Nee;BD shift 2;nvt;;nvt
BD;1;H1;AL;Nee;BD shift 1;nvt;;nvt
BD;N;N;AL;Nee;BD shift N;nvt;;nvt
BORN;9;H9;AL;Nee;BORN shift 9;nvt;;nvt
BORN;8;H8;AL;Nee;BORN shift 8;nvt;;nvt
BORN;7;H7;AL;Nee;BORN shift 7;nvt;;nvt
BORN;6;H6;AL;Nee;BORN shift 6;nvt;;nvt
BORN;5;H5;AL;Nee;BORN shift 5;nvt;;nvt
BORN;4;H4;AL;Nee;BORN shift 4;nvt;;nvt
BORN;3;H3;AL;Nee;BORN shift 3;nvt;;nvt
BORN;2;H2;AL;Nee;BORN shift 2;nvt;;nvt
BORN;1;H1;AL;Nee;BORN shift 1;nvt;;nvt
BORN;N;N;AL;Nee;BORN shift N;nvt;;nvt
DDT;7;H7;AL;Nee;DDT shift 7;nvt;;nvt
DDT;6;H6;AL;Nee;DDT shift 6;nvt;;nvt
DDT;5;H5;AL;Nee;DDT shift 5;nvt;;nvt
DDT;4;H4;AL;Nee;DDT shift 4;nvt;;nvt
DDT;3;H3;AL;Nee;DDT shift 3;nvt;;nvt
DDT;2;H2;AL;Nee;DDT shift 2;nvt;;nvt
DDT;1;H1;AL;Nee;DDT shift 1;nvt;;nvt
DDT;N;N;AL;Nee;DDT shift N;nvt;;nvt
DTD;5;H5;AL;Nee;DTD shift 5;nvt;;nvt
DTD;4;H4;AL;Nee;DTD shift 4;nvt;;nvt
DTD;3;H3;AL;Nee;DTD shift 3;nvt;;nvt
DTD;2;H2;AL;Nee;DTD shift 2;nvt;;nvt
DTD;1;H1;AL;Nee;DTD shift 1;nvt;;nvt
ELT;10;H10;AL;Nee;ELT shift 10;nvt;;nvt
ELT;9;H9;AL;Nee;ELT shift 9;nvt;;nvt
ELT;8;H8;AL;Nee;ELT shift 8;nvt;;nvt
ELT;7;H7;AL;Nee;ELT shift 7;nvt;;nvt
ELT;6;H6;AL;Nee;ELT shift 6;nvt;;nvt
ELT;5;H5;AL;Nee;ELT shift 5;nvt;;nvt
ELT;4;H4;AL;Nee;ELT shift 4;nvt;;nvt
ELT;3;H3;AL;Nee;ELT shift 3;nvt;;nvt
ELT;2;H2;AL;Nee;ELT shift 2;nvt;;nvt
ELT;1;H1;AL;Nee;ELT shift 1;nvt;;nvt
ELT;N;N;AL;Nee;ELT shift N;nvt;;nvt
GS;9;H9;AL;Nee;GS shift 9;nvt;;nvt
GS;8;H8;AL;Nee;GS shift 8;nvt;;nvt
GS;7;H7;AL;Nee;GS shift 7;nvt;;nvt
GS;6;H6;AL;Nee;GS shift 6;nvt;;nvt
GS;5;H5;AL;Nee;GS shift 5;nvt;;nvt
GS;4;H4;AL;Nee;GS shift 4;nvt;;nvt
GS;3;H3;AL;Nee;GS shift 3;nvt;;nvt
GS;2;H2;AL;Nee;GS shift 2;nvt;;nvt
GS;1;H1;AL;Nee;GS shift 1;nvt;;nvt
GS;N;N;AL;Nee;GS shift N;nvt;;nvt
HBD;9;H9;AL;Nee;HBD shift 9;nvt;;nvt
HBD;8;H8;AL;Nee;HBD shift 8;nvt;;nvt
HBD;7;H7;AL;Nee;HBD shift 7;nvt;;nvt
HBD;6;H6;AL;Nee;HBD shift 6;nvt;;nvt
HBD;5;H5;AL;Nee;HBD shift 5;nvt;;nvt
HBD;4;H4;AL;Nee;HBD shift 4;nvt;;nvt
HBD;3;H3;AL;Nee;HBD shift 3;nvt;;nvt
HBD;2;H2;AL;Nee;HBD shift 2;nvt;;nvt
HBD;1;H1;AL;Nee;HBD shift 1;nvt;;nvt
HBD;N;N;AL;Nee;HBD shift N;nvt;;nvt
HGL;10;H10;AL;Nee;HGL shift 10;nvt;;nvt
HGL;9;H9;AL;Nee;HGL shift 9;nvt;;nvt
HGL;8;H8;AL;Nee;HGL shift 8;nvt;;nvt
HGL;7;H7;AL;Nee;HGL shift 7;nvt;;nvt
HGL;6;H6;AL;Nee;HGL shift 6;nvt;;nvt
HGL;5;H5;AL;Nee;HGL shift 5;nvt;;nvt
HGL;4;H4;AL;Nee;HGL shift 4;nvt;;nvt
HGL;3;H3;AL;Nee;HGL shift 3;nvt;;nvt
HGL;2;H2;AL;Nee;HGL shift 2;nvt;;nvt
HGL;1;H1;AL;Nee;HGL shift 1;nvt;;nvt
HGL;N;N;AL;Nee;HGL shift N;nvt;;nvt
HT;9;H9;AL;Nee;HT shift 9;nvt;;nvt
HT;8;H8;AL;Nee;HT shift 8;nvt;;nvt
HT;7;H7;AL;Nee;HT shift 7;nvt;;nvt
HT;6;H6;AL;Nee;HT shift 6;nvt;;nvt
HT;5;H5;AL;Nee;HT shift 5;nvt;;nvt
HT;4;H4;AL;Nee;HT shift 4;nvt;;nvt
HT;3;H3;AL;Nee;HT shift 3;nvt;;nvt
HT;2;H2;AL;Nee;HT shift 2;nvt;;nvt
HT;1;H1;AL;Nee;HT shift 1;nvt;;nvt
HT;N;N;AL;Nee;HT shift N;nvt;;nvt
HW;10;H10;AL;Nee;HW shift 10;nvt;;nvt
HW;9;H9;AL;Nee;HW shift 9;nvt;;nvt
HW;8;H8;AL;Nee;HW shift 8;nvt;;nvt
HW;7;H7;AL;Nee;HW shift 7;nvt;;nvt
HW;6;H6;AL;Nee;HW shift 6;nvt;;nvt
HW;5;H5;AL;Nee;HW shift 5;nvt;;nvt
HW;4;H4;AL;Nee;HW shift 4;nvt;;nvt
HW;3;H3;AL;Nee;HW shift 3;nvt;;nvt
HW;2;H2;AL;Nee;HW shift 2;nvt;;nvt
HW;1;H1;AL;Nee;HW shift 1;nvt;;nvt
HW;N;N;AL;Nee;HW shift N;nvt;;nvt
KHM;10;H10;AL;Nee;KHM shift 10;nvt;;nvt
KHM;9;H9;AL;Nee;KHM shift 9;nvt;;nvt
KHM;8;H8;AL;Nee;KHM shift 8;nvt;;nvt
KHM;7;H7;AL;Nee;KHM shift 7;nvt;;nvt
KHM;6;H6;AL;Nee;KHM shift 6;nvt;;nvt
KHM;5;H5;AL;Nee;KHM shift 5;nvt;;nvt
KHM;4;H4;AL;Nee;KHM shift 4;nvt;;nvt
KHM;3;H3;AL;Nee;KHM shift 3;nvt;;nvt
KHM;2;H2;AL;Nee;KHM shift 2;nvt;;nvt
KHM;1;H1;AL;Nee;KHM shift 1;nvt;;nvt
KHM;N;N;AL;Nee;KHM shift N;nvt;;nvt
LW;9;H9;AL;Nee;LW shift 9;nvt;;nvt
LW;8;H8;AL;Nee;LW shift 8;nvt;;nvt
LW;7;H7;AL;Nee;LW shift 7;nvt;;nvt
LW;6;H6;AL;Nee;LW shift 6;nvt;;nvt
LW;5;H5;AL;Nee;LW shift 5;nvt;;nvt
LW;4;H4;AL;Nee;LW shift 4;nvt;;nvt
LW;3;H3;AL;Nee;LW shift 3;nvt;;nvt
LW;2;H2;AL;Nee;LW shift 2;nvt;;nvt
LW;1;H1;AL;Nee;LW shift 1;nvt;;nvt
LW;N;N;AL;Nee;LW shift N;nvt;;nvt
MECH;4;H4;AL;Nee;MECH shift 4;nvt;;nvt
MECH;3;H3;AL;Nee;MECH shift 3;nvt;;nvt
MECH;2;H2;AL;Nee;MECH shift 2;nvt;;nvt
MECH;1;H1;AL;Nee;MECH shift 1;nvt;;nvt
NAM;3;H3;AL;Nee;NAM shift 3;nvt;;nvt
NAM;2;H2;AL;Nee;NAM shift 2;nvt;;nvt
NAM;1;H1;AL;Nee;NAM shift 1;nvt;;nvt
