,AAR nummer,Gecombineerde order,Customerorder nummer,Laadpartij,Laadstraat,Laadhuisnummer,Laadpostcode,Laadplaats,Laadland,RR code laden,Laden van,Laden tot,Operator,Logistieke service,Lospartij huidig,Lospartij voorstel,Gepland lossen van huidig,Gepland lossen tot huidig,Median lostijd huidig gerealiseerd,Lostijd voorstel,#RCP equiv georderd,#RCP equiv gerealiseerd (max),Vulgraad,#Pakketten gerealiseerd (max),#Pakketten_NMG,Transporthulpmiddeltype,Collectiedag,Dagen uitgevoerd,%WEST,%OOST,%ZUID,%BE,huidig=voorstel
0,1136,331,C6801975680,LOODS 5 GOODS B.V.,HANDELSWEG,26,1525RG,WESTKNOLLENDAM,NL,1525RG26L,15:30:00,16:00:00,TransportBV,75.0,DEPOT HALFWEG,DEPOT HALFWEG,15:30:00,21:00:00,15:45:00,17:15:00,16.0,13.0,7.69,70.0,30.0,{'RCP'},Maandag,{'2022-05-23'},42.5,35.4,22.1,0.0,True
1,7330,,C6815024081,HAARSHOP,RATIO,16,6921RW,DUIVEN,NL,6921RW16H,23:00:00,23:30:00,TransportBV,75.0,DEPOT APELDOORN,DEPOT APELDOORN,23:00:00,00:15:00,00:00:00,23:45:00,14.0,11.0,109.95,1209.0,0.0,{'RCP'},Maandag,{'2022-05-23'},33.0,29.8,23.6,13.6,True
2,61101,,C6724493535,MSC HANDELSONDERNEMING BV,FAHRENHEITSTRAAT,11,6003DC,WEERT,NL,6003DC11M,23:00:00,23:30:00,TransportBV,75.0,DEPOT BORN,DEPOT DEN BOSCH,23:00:00,00:15:00,23:45:00,00:15:00,48.0,13.0,23.09,250.0,50.0,{'RCP'},Maandag,{'2022-05-23'},29.4,38.2,32.0,0.3,False
3,8912,116,C6723728695,ZIJLSTRA BEROEPSKLEDING,DE WIEKEN,14,8801RA,FRANEKER,NL,8801RA14Z,16:30:00,17:00:00,TransportBV,75.0,DEPOT LEEUWARDEN,DEPOT LEEUWARDEN,16:30:00,19:00:00,18:30:00,18:15:00,12.0,4.0,24.71,99.0,0.0,{'RCP'},Maandag,{'2022-05-23'},14.4,69.5,15.6,0.6,True
4,VOSHT 1,946,C6779920752,Vos Distri Logistics Oss B.V.,VOLLENHOVERMEER,39,5347JV,OSS,NL,5347JV39V,22:30:00,23:00:00,TransportBV,75.0,DEPOT DEN BOSCH,DEPOT DEN BOSCH,22:30:00,23:59:00,23:30:00,23:15:00,16.0,16.0,5.08,34.0,47.0,{'RCP'},Maandag,{'2022-05-23'},33.2,31.6,21.4,13.7,True
5,4444,901,C6776161986,SMARTPHOTO (DBM COLOR) [WETTEREN] [BE],VANTEGEMSTRAAT,21,9230,WETTEREN,BE,B9230WE21S,18:30:00,19:00:00,TransportBV,90.0,DEPOT GOES,DEPOT WILLEBROEK,18:30:00,22:30:00,21:45:00,19:45:00,12.0,4.5,48.54,212.0,6.0,{'PEU'},Maandag,{'2022-05-23'},29.2,37.4,33.4,0.0,False
6,5666,,C6928603975,MAAS INTERNATIONAL BV,ACHTSTEWEG NOORD,60,5651GG,EINDHOVEN,NL,5651GG60M,15:30:00,16:00:00,TransportBV,75.0,DEPOT SON,DEPOT SON,15:30:00,16:15:00,17:45:00,16:00:00,12.0,12.0,14.42,173.0,0.0,{'RCP'},Maandag,{'2022-05-23'},36.4,28.0,35.6,0.0,True
7,3442,778,C6917699381,Bouwmaat Nederland B.V.,INUNDATIEDOK,10-12,3433KP,NIEUWEGEIN,NL,3433KP10B,20:30:00,21:00:00,TransportBV,75.0,DEPOT NIEUWEGEIN,DEPOT NIEUWEGEIN,20:30:00,22:00:00,20:15:00,21:00:00,3.0,3.0,30.0,82.0,8.0,{'RCP'},Maandag,{'2022-05-23'},33.0,36.8,30.2,0.0,True
8,56151,78,C6895032972,POWER SLIM NEDERLAND BV,PARK FORUM,1057,5657HJ,EINDHOVEN,NL,5657HJ057P,22:15:00,22:45:00,TransportBV,75.0,DEPOT SON,DEPOT SON,22:15:00,23:30:00,23:00:00,22:45:00,6.0,3.0,16.87,51.0,0.0,{'PEU'},Maandag,{'2022-05-23'},22.3,28.7,33.0,16.0,True
9,6640,738,C6959275370,SELLINK (HANDELSONDERNEMING),HAMELANDROUTE,92,7121JC,AALTEN,NL,7121JC92S,19:00:00,19:30:00,TransportBV,75.0,DEPOT ELST,DEPOT HENGELO,19:00:00,21:00:00,23:30:00,20:30:00,10.0,10.0,12.39,67.0,57.0,{'RCP'},Maandag,{'2022-05-23'},23.4,28.8,21.1,26.7,False
10,5256 CC,298,C6850114542,MSK-Podiamed B.V.,AMBACHT,6,5301KW,ZALTBOMMEL,NL,5301KW6M,16:15:00,16:45:00,TransportBV,75.0,DEPOT DEN BOSCH,DEPOT DEN BOSCH,16:15:00,21:00:00,17:15:00,17:30:00,5.5,3.0,18.86,56.0,0.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},28.4,34.6,35.2,1.8,True
11,M 5082,129,C6886517323,TGC TRADING,VALKENJACHTSTRAAT,17,5042WH,TILBURG,NL,5042WH17T,17:15:00,17:45:00,TransportBV,75.0,DEPOT TILBURG,DEPOT TILBURG,17:15:00,19:30:00,17:30:00,17:45:00,8.0,6.0,30.37,182.0,1.0,{'RCP'},Maandag,{'2022-05-23'},30.2,32.9,30.5,6.4,True
12,2703,,C6884463109,MORESTORAGE,GOUDSTRAAT,65,2718RD,ZOETERMEER,NL,2718RD65M,22:30:00,23:00:00,TransportBV,75.0,DEPOT WADDINXVEEN,DEPOT WADDINXVEEN,22:30:00,23:45:00,23:15:00,23:00:00,30.0,11.5,14.75,160.0,9.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},30.9,36.0,25.5,7.7,True
13,PREM.1064 XL,,C6884313515,DIGITAL REVOLUTION [NEDERHORST DEN BERG-NIEUW WALDEN],NIEUW WALDEN,54,1394PC,NEDERHORST DEN BERG,NL,1394PC54D,23:30:00,00:30:00,TransportBV,75.0,DEPOT AMSTERDAM ZUIDOOST,DEPOT UTRECHT,23:30:00,01:15:00,00:15:00,01:00:00,48.0,13.0,44.64,579.0,2.0,{'RCP'},Maandag,{'2022-05-23'},30.7,39.0,30.3,0.0,False
14,38107,88,C6516515816,TEGELDEPOT [ZEEWOLDE],EENSPAN,6,3897AL,ZEEWOLDE,NL,3897AL6T,16:00:00,17:00:00,TransportBV,75.0,DEPOT AMERSFOORT,DEPOT ALMERE,16:00:00,21:00:00,18:30:00,17:30:00,10.0,8.0,42.13,288.0,49.0,{'RCP'},Maandag,{'2022-05-23'},30.4,35.8,24.7,9.1,False
15,8075,559,C6507688634,VAN DE BELT MODEWERELD,DORPSSTRAAT,44,7957AW,DE WIJK,NL,7957AW44B,16:30:00,17:00:00,TransportBV,75.0,DEPOT ZWOLLE,DEPOT ZWOLLE,16:30:00,21:00:00,17:30:00,17:15:00,4.0,3.0,64.95,195.0,0.0,{'RCP'},Maandag,{'2022-05-23'},20.1,47.5,31.2,1.1,True
16,4477 XL,,C6516947253,KATOEN NATIE iz INTERGAMMA [KALLO] [BE] WH22,OUDEDIJK,1,9130,KALLO,BE,B9130KAL1I,18:00:00,19:00:00,TransportBV,90.0,DEPOT GOES,DEPOT RIDDERKERK,18:00:00,21:00:00,20:00:00,20:00:00,48.0,48.0,13.76,522.0,0.0,{'RCP'},Maandag,{'2022-05-23'},35.3,39.0,25.7,0.0,False
17,4853,,C6542781302,Z.G.V. ROOSENDAAL,SPOORSTRAAT,19,4702VV,ROOSENDAAL,NL,4702VV19Z,17:30:00,18:00:00,TransportBV,75.0,DEPOT BREDA,DEPOT DORDRECHT,17:30:00,21:00:00,18:15:00,18:30:00,10.0,7.0,43.16,290.0,12.0,{'RCP'},Maandag,{'2022-05-23'},28.4,30.5,23.5,17.6,False
18,48131,,C6446167380,DSV MCF (KLUNDERT),LOGISTIEKBOULEVARD,1,4791VC,KLUNDERT,NL,4791VC1D,22:30:00,23:00:00,TransportBV,75.0,DEPOT BREDA,DEPOT RIDDERKERK,22:30:00,23:45:00,23:45:00,23:15:00,25.0,16.0,39.35,585.0,44.0,{'RCP'},Maandag,{'2022-05-23'},28.8,31.8,22.8,16.6,False
19,234-ZD,,C6442383406,INGRAM MICRO VEERWEG 16 H1 (BOL.COM),VEERWEG,16,5145NS,WAALWIJK,NL,5145NS16I,20:00:00,20:30:00,TransportBV,75.0,DEPOT TILBURG,DEPOT TILBURG,20:00:00,21:15:00,21:45:00,20:45:00,48.0,44.0,40.0,1760.0,0.0,{'RCP'},Maandag,{'2022-05-23'},24.1,25.4,17.3,33.2,True
20,1812,,C6398203500,Waterland Diervoeders,J.P. POELSTRAAT,8,1483GC,DE RIJP,NL,1483GC6W,14:00:00,14:30:00,TransportBV,75.0,DEPOT OPMEER,DEPOT AMSTERDAM ZUIDOOST,14:00:00,18:00:00,14:30:00,15:00:00,22.5,22.5,20.38,458.0,1.0,{'PEU'},Maandag,{'2022-05-23'},27.6,30.2,23.3,18.9,False
21,4446,,C6474859180,MUNDO RECREATIE,OOSTPOLDERWEG,15,4413NN,KRABBENDIJKE,NL,4413NN15MU,21:30:00,22:00:00,TransportBV,75.0,DEPOT GOES,DEPOT BREDA,21:30:00,23:00:00,22:15:00,22:45:00,48.0,3.0,9.59,27.0,2.0,{'RCP'},Maandag,{'2022-05-23'},19.1,27.3,25.5,28.1,False
22,8012,559,C6464847275,DE KASTEELHOEVE,SCHOTSWEG,7,7951NP,STAPHORST,NL,7951NP7D,15:00:00,16:00:00,TransportBV,75.0,DEPOT ZWOLLE,DEPOT ZWOLLE,15:00:00,21:00:00,17:30:00,17:15:00,9.0,3.0,20.8,62.0,0.0,{'RCP'},Maandag,{'2022-05-23'},35.2,35.5,28.4,1.0,True
23,5275,1022,C6682262563,MEDELA BENELUX BV,UILENWAAD,31,5236WB,DEN BOSCH,NL,5236WB31M,15:45:00,16:15:00,TransportBV,75.0,DEPOT DEN BOSCH,DEPOT DEN BOSCH,15:45:00,18:00:00,16:15:00,17:30:00,9.0,6.0,8.27,44.0,5.0,{'RCP'},Maandag,{'2022-05-23'},29.9,37.2,32.8,0.0,True
24,3838,,C6678371156,AS WATSON iz KRUIDVAT [EDE],CELSIUSSTRAAT,37,6716BZ,EDE GLD,NL,6716BZ37W,19:00:00,19:30:00,TransportBV,75.0,DEPOT AMERSFOORT,DEPOT AMERSFOORT,19:00:00,21:00:00,20:45:00,19:45:00,48.0,48.0,20.79,998.0,0.0,{'RCP'},Maandag,{'2022-05-23'},32.3,38.4,29.3,0.0,True
25,1329,346,C6672381139,SIDHA TECHNOLOGY & TRADING B.V.,WARTELSTRAAT,2,8223EH,LELYSTAD,NL,8223EH2S,15:45:00,16:15:00,TransportBV,75.0,DEPOT ALMERE,DEPOT ALMERE,15:45:00,18:00:00,17:45:00,17:15:00,9.0,2.0,7.72,15.0,0.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},31.7,38.4,24.8,5.0,True
26,7339,632,C6684140184,TRADING TOPPERS,KRONENWEG,2,7051HX,VARSSEVELD,NL,7051HX2T,22:15:00,22:45:00,TransportBV,75.0,DEPOT APELDOORN,DEPOT ELST,22:15:00,23:45:00,00:00:00,23:45:00,9.0,6.0,125.17,751.0,0.0,{'RCP'},Maandag,{'2022-05-23'},30.2,27.0,23.3,19.4,False
27,2615,665,C6631436299,CITYPARTS.NL,GILDESTRAAT,125,2671BV,NAALDWIJK,NL,2671BV125C,17:00:00,17:30:00,TransportBV,75.0,DEPOT DEN HOORN,DEPOT DEN HOORN,17:00:00,19:00:00,16:00:00,17:45:00,6.0,6.0,45.71,253.0,21.0,{'RCP'},Maandag,{'2022-05-23'},28.5,29.2,25.4,16.9,True
28,3453,865,C6587617168,HANDLING COMPANY MIJDRECHT,ENERGIEWEG,20,3641RT,MIJDRECHT,NL,3641RT20H,17:00:00,17:30:00,TransportBV,75.0,DEPOT NIEUWEGEIN,DEPOT AMSTERDAM ZUIDOOST,17:00:00,21:00:00,18:15:00,18:15:00,4.0,4.0,25.08,98.0,2.0,{'RCP'},Maandag,{'2022-05-23'},34.6,38.5,26.3,0.6,False
29,BEL 2810,,C6586789931,INGRAM MICRO VEERWEG 16 H1 (BOL.COM),VEERWEG,16,5145NS,WAALWIJK,NL,5145NS16I,20:30:00,21:00:00,TransportBV,75.0,DEPOT WILLEBROEK (B),DEPOT WILLEBROEK,20:30:00,23:00:00,22:30:00,22:15:00,48.0,48.0,40.0,1920.0,0.0,{'RCP'},Maandag,{'2022-05-23'},24.1,25.4,17.3,33.2,False
30,35133,112,C6630186820,FIRMA VAN ROOIJEN [AMPEREWEG],AMPEREWEG,11,3442AB,WOERDEN,NL,3442AB11R,17:00:00,17:30:00,TransportBV,75.0,DEPOT UTRECHT,DEPOT UTRECHT,17:00:00,21:00:00,20:45:00,17:45:00,30.0,12.86,17.32,124.0,99.0,{'RCB'},Maandag,{'2022-05-23'},22.6,33.5,25.0,18.8,True
31,3813,484,C6618595650,Shops4youonline B.V.,GALVANISTRAAT,38,3861NJ,NIJKERK GLD,NL,3861NJ38S,22:15:00,22:45:00,TransportBV,75.0,DEPOT AMERSFOORT,DEPOT ALMERE,22:15:00,23:30:00,23:30:00,23:00:00,10.0,8.0,71.36,571.0,0.0,{'RCP'},Maandag,{'2022-05-23'},25.8,27.5,21.7,25.0,False
32,1021,577,C6615895029,B2C EUROPE (ALMERE),DAMSLUISWEG,40,1332ED,ALMERE,NL,1332ED40B2,21:00:00,21:30:00,TransportBV,75.0,DEPOT AMSTERDAM,DEPOT ALMERE,21:00:00,22:15:00,22:15:00,22:00:00,14.0,9.5,6.48,61.0,1.0,{'RCP'},Maandag,{'2022-05-23'},5.0,92.1,3.0,0.0,False
33,2717,,C7339801431,MORESTORAGE,GOUDSTRAAT,65,2718RD,ZOETERMEER,NL,2718RD65M,20:30:00,21:00:00,TransportBV,75.0,DEPOT WADDINXVEEN,DEPOT WADDINXVEEN,20:30:00,22:00:00,21:15:00,21:00:00,18.0,13.0,14.75,181.0,11.0,{'PEU'},Maandag,{'2022-05-23'},30.9,36.0,25.5,7.7,True
34,3517,,C7327520505,PETS PLACE,GALVANISTRAAT,100,6716AE,EDE GLD,NL,6716AE100P,20:00:00,20:30:00,TransportBV,75.0,DEPOT UTRECHT,DEPOT AMERSFOORT,20:00:00,22:00:00,22:00:00,20:45:00,48.0,8.0,21.06,163.0,6.0,{'RCP'},Maandag,{'2022-05-23'},28.1,29.2,24.6,18.1,False
